"Student Name","Question-1","res1","Question-2","res2","Question-3","res3","Question-4","res4","Question-5","res5","Question-6","res6","Question-7","res7","Question-8","res8","Question-9","res9","Question-10","res10","resc"

Mason Harper,A,1,	B,1,	C,1,B,0,B,1,C,1,B,1,A,1,A,1,B,1,0
Avery Madison,A,1,	B,1,	C,1,A,1,D,0,D,0,A,0,A,1,A,1,B,1,0
Colton Parker,A,1,	C,0,	C,1,A,1,B,1,C,1,B,1,A,1,A,1,B,1,0
Tyler Blake,A,1,	A,0,	A,0,C,0,B,1,C,1,B,1,C,0,B,0,B,1,0
Jack Hunter,A,1,	B,1,	C,1,C,0,B,1,C,1,B,1,A,1,A,1,B,1,0
Riley Jackson,A,1,	B,1,	C,1,A,1,B,1,A,0,B,1,A,1,A,1,B,1,0
Hazel Greyson,A,1,	B,1,	B,0,A,1,B,1,C,1,C,0,A,1,B,0,D,0,0
Hailey Weston,A,1,	B,1,	C,1,A,1,B,1,A,0,B,1,B,0,B,0,B,1,0
Steven King,A,1,	A,0,	C,1,A,1,D,0,D,0,B,1,A,1,C,0,B,1,0
Maxwell Wisley,A,1,	A,0,	C,1,B,0,B,1,C,1,B,1,A,1,A,1,C,0,0




